,,"Name (click to view profile)",Date,Likes,isHearted,isPinned,Comment,"Profile ID","Comment ID","Comment URL"
56,,"Артем Кузик","2021-11-21 14:39:22",0,no,no,"Тік ток",UC5b5nJhzVixM2n34wfZJwxg,Ugx9OFmum6Qn3d9G5L54AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=Ugx9OFmum6Qn3d9G5L54AaABAg
57,,"BLAK_STAR _ SAMURAI","2021-11-21 17:43:16",0,no,no,😔,UC3xMmEF5Ho19mXcb3SNS0-A,UgxcbH_7qIKDlLpR0Vl4AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=UgxcbH_7qIKDlLpR0Vl4AaABAg
58,,Lxnny,"2021-11-21 20:02:35",0,no,no,"bruh the original video has way less views than the others lol",UCqR_ZPrYrig9-CQOHZvm_ZA,UgzF0phtSUmCzU3QwTt4AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=UgzF0phtSUmCzU3QwTt4AaABAg
59,,"Emirhan Gul","2021-11-21 20:31:28",0,no,no,"I CAN HEAR THEM, THE TIKTOKERS ARE COMING... Sadge",UCbb6cgbEv9meVR7rHzSzRTQ,UgzcPDdhzF2ntLwHF3N4AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=UgzcPDdhzF2ntLwHF3N4AaABAg
60,,"i eat cement","2021-11-21 20:36:46",1,no,no,"This has that one feeling where your leaving to a new school and just leaving your 6th grade friend group and just cant say goodbye to them",UCOVJPEKHXwT__96fqoKJIlw,Ugz-DIoa2b4HYpEDLW54AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=Ugz-DIoa2b4HYpEDLW54AaABAg
61,,"Gio Lua","2021-11-21 21:04:26",1,no,no,"Gives  me Strokes&Cage of the elephant vibes and its perfect 🔥",UCIEZ3u9s4SVtk-S8CbeErzg,UgzIGUBjXj-qA3UooFd4AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=UgzIGUBjXj-qA3UooFd4AaABAg
62,,uwu,"2021-11-22 00:59:00",0,no,no,"cual es el significado del video? a que se refiere?",UCut0-ahIICUo_0CTcr8uBnw,Ugy_xwOMlcmpAf743PZ4AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=Ugy_xwOMlcmpAf743PZ4AaABAg
63,,"Ur mother 😎","2021-11-22 01:01:29",0,no,no,"I feel like bass boosting this would be legendary",UCtFYxPGJiuE5IwxwOo50OXA,UgwGa4jiljKKdHMi1Bt4AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=UgwGa4jiljKKdHMi1Bt4AaABAg
64,,"Santiago Homann","2021-11-22 02:30:58",0,no,no,"this? this is good",UCWlKJPl9HreIyRpxRyPzYtQ,UgxiyMFRfZGCDlXrFj94AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=UgxiyMFRfZGCDlXrFj94AaABAg
65,,"HOTDOG Codm","2021-11-22 06:47:07",0,no,no,"So Nostalgic..",UCognky--tR9W-35aKpJVaeg,Ugw8ZxhkPxpBuGTPAll4AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=Ugw8ZxhkPxpBuGTPAll4AaABAg
66,,reclusive,"2021-11-22 07:25:01",0,no,no,"i feel like this song can go with mostly any emotion",UCzmQ7yYGV-Kx5BsBcn0kvkg,UgwvADjhs0vbOLl2mn54AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=UgwvADjhs0vbOLl2mn54AaABAg
67,,"Young Falla","2021-11-22 09:52:01",0,no,no,"Llegué por tiktok, amo esta canción",UCxEC5m1TaTEcAK1y4ccaAew,UgxxR3Q4zDf2HRVNAMp4AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=UgxxR3Q4zDf2HRVNAMp4AaABAg
68,,"Iky Nasution99","2021-11-22 13:00:19",0,no,no,"I’m coming is 2022",UCiBTzOIekdJcPWTH4uoG8zw,UgyrhYitzW5JZFDnmkZ4AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=UgyrhYitzW5JZFDnmkZ4AaABAg
69,,nachtfaust910,"2021-11-22 13:30:05",1,no,no,"Is it just me or is the girl so slow, like run faster idk why it annoys me so much lol",UCJypkFCTTKqu1CIbQs7ncjA,UgysLIdB9g4B5j6n1GR4AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=UgysLIdB9g4B5j6n1GR4AaABAg
70,,"Deviyanti Tanjung","2021-11-22 15:34:48",0,no,no,"But I don't need the comfort of any lies....",UC364LfE79EQhVSSrN-v9NKA,UgwSToQAqlZiIlI1StZ4AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=UgwSToQAqlZiIlI1StZ4AaABAg
